node,core_number,in_backbone
9606.ENSP00000361004,26,False
9606.ENSP00000276603,17,False
9606.ENSP00000278616,34,False
9606.ENSP00000362300,18,False
9606.ENSP00000313420,32,False
9606.ENSP00000313854,1,False
9606.ENSP00000224950,15,False
9606.ENSP00000233813,8,False
9606.ENSP00000260356,29,False
9606.ENSP00000239165,4,False
9606.ENSP00000242159,4,False
9606.ENSP00000302548,4,False
9606.ENSP00000283921,3,False
9606.ENSP00000222726,4,False
9606.ENSP00000441434,9,False
9606.ENSP00000476228,11,False
9606.ENSP00000222543,1,False
9606.ENSP00000422793,5,False
9606.ENSP00000262741,37,True
9606.ENSP00000263967,37,True
9606.ENSP00000324890,37,True
9606.ENSP00000295797,14,False
9606.ENSP00000352673,3,False
9606.ENSP00000320663,22,False
9606.ENSP00000357494,6,False
9606.ENSP00000354207,17,False
9606.ENSP00000351497,31,False
9606.ENSP00000300692,25,False
9606.ENSP00000403459,11,False
9606.ENSP00000492001,8,False
9606.ENSP00000496597,8,False
9606.ENSP00000355124,12,False
9606.ENSP00000373489,12,False
9606.ENSP00000263735,23,False
9606.ENSP00000265849,32,False
